[+] Ajout | Voiture id:1500
[+] Ajout | Voiture id:1535
[+] Ajout | Voiture id:1536
[+] Ajout | Voiture id:1537
[+] Ajout | Voiture id:1538
[+] Ajout | Voiture id:1539
[-] Suppression | Voiture id:1534 supprimé de la carte.
[-] Suppression | Voiture id:1535 supprimé de la carte.
[+] Ajout | Voiture id:1540
[+] Ajout | Voiture id:1541
[!] Accident | (1,4)
[-] Suppression | Voiture id:1536 supprimé de la carte.
[-] Suppression | Voiture id:1537 supprimé de la carte.
[+] Ajout | Voiture id:1542
[+] Ajout | Voiture id:1543
[-] Suppression | Voiture id:1540 supprimé de la carte.
[-] Suppression | Voiture id:1541 supprimé de la carte.
[!] Accident | (1,3)
[-] Suppression | Voiture id:1538 supprimé de la carte.
[-] Suppression | Voiture id:1539 supprimé de la carte.
[+] Ajout | Voiture id:1544
[+] Ajout | Voiture id:1545
[!] Accident | (1,3)
[-] Suppression | Voiture id:1543 supprimé de la carte.
[-] Suppression | Voiture id:1542 supprimé de la carte.
[+] Ajout | Voiture id:1546
[+] Ajout | Voiture id:1547
[-] Suppression | Voiture id:1542 supprimé de la carte.
[-] Suppression | Voiture id:1544 supprimé de la carte.
[+] Ajout | Voiture id:1548
[+] Ajout | Voiture id:1549
[!] Accident | (4,1)
[-] Suppression | Voiture id:1545 supprimé de la carte.
[+] Ajout | Voiture id:1550
[+] Ajout | Voiture id:1551
[-] Suppression | Voiture id:1546 supprimé de la carte.
[-] Suppression | Voiture id:1547 supprimé de la carte.
[+] Ajout | Voiture id:1552
[+] Ajout | Voiture id:1553
[-] Suppression | Voiture id:1548 supprimé de la carte.
[-] Suppression | Voiture id:1549 supprimé de la carte.
[+] Ajout | Voiture id:1554
[+] Ajout | Voiture id:1555
[-] Suppression | Voiture id:1550 supprimé de la carte.
[-] Suppression | Voiture id:1551 supprimé de la carte.
[+] Ajout | Voiture id:1556
[+] Ajout | Voiture id:1557
[-] Suppression | Voiture id:1552 supprimé de la carte.
[-] Suppression | Voiture id:1553 supprimé de la carte.
[+] Ajout | Voiture id:1558
[+] Ajout | Voiture id:1559
[!] Accident | (3,3)
[-] Suppression | Voiture id:1554 supprimé de la carte.
[-] Suppression | Voiture id:1555 supprimé de la carte.
[-] Suppression | Voiture id:1557 supprimé de la carte.
[-] Suppression | Voiture id:1556 supprimé de la carte.
[+] Ajout | Voiture id:1560
[+] Ajout | Voiture id:1561
[+] Ajout | Voiture id:1562
[+] Ajout | Voiture id:1563
[-] Suppression | Voiture id:1558 supprimé de la carte.
[-] Suppression | Voiture id:1559 supprimé de la carte.
[+] Ajout | Voiture id:1564
[+] Ajout | Voiture id:1565
[-] Suppression | Voiture id:1560 supprimé de la carte.
[-] Suppression | Voiture id:1561 supprimé de la carte.
[+] Ajout | Voiture id:1566
[+] Ajout | Voiture id:1567
[!] Accident | (1,3)
[-] Suppression | Voiture id:1562 supprimé de la carte.
[-] Suppression | Voiture id:1563 supprimé de la carte.
[+] Ajout | Voiture id:1568
[+] Ajout | Voiture id:1569
[-] Suppression | Voiture id:1567 supprimé de la carte.
[-] Suppression | Voiture id:1566 supprimé de la carte.
[-] Suppression | Voiture id:1564 supprimé de la carte.
[-] Suppression | Voiture id:1565 supprimé de la carte.
[+] Ajout | Voiture id:1570
[+] Ajout | Voiture id:1571
[!] Accident | (4,1)
[+] Ajout | Voiture id:1572
[+] Ajout | Voiture id:1573
[-] Suppression | Voiture id:1568 supprimé de la carte.
[-] Suppression | Voiture id:1569 supprimé de la carte.
[!] Accident | (4,2)
[+] Ajout | Voiture id:1574
[+] Ajout | Voiture id:1575
[-] Suppression | Voiture id:1571 supprimé de la carte.
[-] Suppression | Voiture id:1570 supprimé de la carte.
[!] Accident | (4,4)
[+] Ajout | Voiture id:1576
[+] Ajout | Voiture id:1577
[-] Suppression | Voiture id:1573 supprimé de la carte.
[-] Suppression | Voiture id:1575 supprimé de la carte.
[-] Suppression | Voiture id:1572 supprimé de la carte.
[+] Ajout | Voiture id:1578
[+] Ajout | Voiture id:1579
[-] Suppression | Voiture id:1574 supprimé de la carte.
[+] Ajout | Voiture id:1580
[+] Ajout | Voiture id:1581
[-] Suppression | Voiture id:1576 supprimé de la carte.
[-] Suppression | Voiture id:1577 supprimé de la carte.
[+] Ajout | Voiture id:1582
[+] Ajout | Voiture id:1583
[!] Accident | (2,5)
[-] Suppression | Voiture id:1578 supprimé de la carte.
[-] Suppression | Voiture id:1579 supprimé de la carte.
[-] Suppression | Voiture id:1583 supprimé de la carte.
[-] Suppression | Voiture id:1582 supprimé de la carte.
[+] Ajout | Voiture id:1584
[+] Ajout | Voiture id:1585
[-] Suppression | Voiture id:1580 supprimé de la carte.
[-] Suppression | Voiture id:1581 supprimé de la carte.
[+] Ajout | Voiture id:1586
[+] Ajout | Voiture id:1587
[!] Accident | (0,1)
[-] Suppression | Voiture id:1587 supprimé de la carte.
[-] Suppression | Voiture id:1586 supprimé de la carte.
[+] Ajout | Voiture id:1588
[+] Ajout | Voiture id:1589
[-] Suppression | Voiture id:1584 supprimé de la carte.
[-] Suppression | Voiture id:1585 supprimé de la carte.
[+] Ajout | Voiture id:1590
[+] Ajout | Voiture id:1591
[+] Ajout | Voiture id:1592
[+] Ajout | Voiture id:1593
[-] Suppression | Voiture id:1588 supprimé de la carte.
[-] Suppression | Voiture id:1589 supprimé de la carte.
[+] Ajout | Voiture id:1594
[+] Ajout | Voiture id:1595
[-] Suppression | Voiture id:1590 supprimé de la carte.
[-] Suppression | Voiture id:1591 supprimé de la carte.
[+] Ajout | Voiture id:1596
[+] Ajout | Voiture id:1597
[-] Suppression | Voiture id:1592 supprimé de la carte.
[-] Suppression | Voiture id:1593 supprimé de la carte.
[+] Ajout | Voiture id:1598
[+] Ajout | Voiture id:1599
[-] Suppression | Voiture id:1594 supprimé de la carte.
[-] Suppression | Voiture id:1595 supprimé de la carte.
[+] Ajout | Voiture id:1600
[+] Ajout | Voiture id:1601
[-] Suppression | Voiture id:1596 supprimé de la carte.
[-] Suppression | Voiture id:1597 supprimé de la carte.
[+] Ajout | Voiture id:1602
[+] Ajout | Voiture id:1603
[!] Accident | (3,3)
[-] Suppression | Voiture id:1598 supprimé de la carte.
[-] Suppression | Voiture id:1599 supprimé de la carte.
[-] Suppression | Voiture id:1601 supprimé de la carte.
[-] Suppression | Voiture id:1600 supprimé de la carte.
[+] Ajout | Voiture id:1604
[+] Ajout | Voiture id:1605
[+] Ajout | Voiture id:1606
[+] Ajout | Voiture id:1607
[-] Suppression | Voiture id:1602 supprimé de la carte.
[-] Suppression | Voiture id:1603 supprimé de la carte.
[+] Ajout | Voiture id:1608
[+] Ajout | Voiture id:1609
[-] Suppression | Voiture id:1604 supprimé de la carte.
[-] Suppression | Voiture id:1605 supprimé de la carte.
[+] Ajout | Voiture id:1610
[+] Ajout | Voiture id:1611
[!] Accident | (3,3)
[-] Suppression | Voiture id:1606 supprimé de la carte.
[-] Suppression | Voiture id:1607 supprimé de la carte.
[-] Suppression | Voiture id:1609 supprimé de la carte.
[-] Suppression | Voiture id:1608 supprimé de la carte.
[+] Ajout | Voiture id:1612
[+] Ajout | Voiture id:1613
[!] Accident | (0,3)
[-] Suppression | Voiture id:1613 supprimé de la carte.
[-] Suppression | Voiture id:1612 supprimé de la carte.
[+] Ajout | Voiture id:1614
[+] Ajout | Voiture id:1615
[!] Accident | (4,5)
[-] Suppression | Voiture id:1610 supprimé de la carte.
[-] Suppression | Voiture id:1611 supprimé de la carte.
[-] Suppression | Voiture id:1615 supprimé de la carte.
[-] Suppression | Voiture id:1614 supprimé de la carte.
[+] Ajout | Voiture id:1616
[+] Ajout | Voiture id:1617
[+] Ajout | Voiture id:1618
[+] Ajout | Voiture id:1619
[!] Accident | (1,3)
[+] Ajout | Voiture id:1620
[+] Ajout | Voiture id:1621
[!] Accident | (2,5)
[-] Suppression | Voiture id:1619 supprimé de la carte.
[-] Suppression | Voiture id:1618 supprimé de la carte.
[-] Suppression | Voiture id:1616 supprimé de la carte.
[-] Suppression | Voiture id:1617 supprimé de la carte.
[-] Suppression | Voiture id:1621 supprimé de la carte.
[-] Suppression | Voiture id:1620 supprimé de la carte.
[+] Ajout | Voiture id:1622
[+] Ajout | Voiture id:1623
[+] Ajout | Voiture id:1624
[+] Ajout | Voiture id:1625
[+] Ajout | Voiture id:1626
[+] Ajout | Voiture id:1627
[-] Suppression | Voiture id:1622 supprimé de la carte.
[-] Suppression | Voiture id:1623 supprimé de la carte.
[+] Ajout | Voiture id:1628
[+] Ajout | Voiture id:1629
[-] Suppression | Voiture id:1624 supprimé de la carte.
[-] Suppression | Voiture id:1625 supprimé de la carte.
[+] Ajout | Voiture id:1630
[+] Ajout | Voiture id:1631
[!] Accident | (2,2)
[!] Accident | (2,2)
[-] Suppression | Voiture id:1626 supprimé de la carte.
[-] Suppression | Voiture id:1627 supprimé de la carte.
[-] Suppression | Voiture id:1629 supprimé de la carte.
[-] Suppression | Voiture id:1628 supprimé de la carte.
[+] Ajout | Voiture id:1632
[+] Ajout | Voiture id:1633
[-] Suppression | Voiture id:1628 supprimé de la carte.
[-] Suppression | Voiture id:1630 supprimé de la carte.
[+] Ajout | Voiture id:1634
[+] Ajout | Voiture id:1635
[-] Suppression | Voiture id:1631 supprimé de la carte.
[+] Ajout | Voiture id:1636
[+] Ajout | Voiture id:1637
[!] Accident | (1,4)
[-] Suppression | Voiture id:1632 supprimé de la carte.
[-] Suppression | Voiture id:1633 supprimé de la carte.
[+] Ajout | Voiture id:1638
[+] Ajout | Voiture id:1639
[-] Suppression | Voiture id:1636 supprimé de la carte.
[-] Suppression | Voiture id:1637 supprimé de la carte.
[-] Suppression | Voiture id:1634 supprimé de la carte.
[-] Suppression | Voiture id:1635 supprimé de la carte.
[+] Ajout | Voiture id:1640
[+] Ajout | Voiture id:1641
[!] Accident | (1,1)
[+] Ajout | Voiture id:1642
[+] Ajout | Voiture id:1643
[-] Suppression | Voiture id:1639 supprimé de la carte.
[-] Suppression | Voiture id:1641 supprimé de la carte.
[!] Accident | (1,4)
[-] Suppression | Voiture id:1638 supprimé de la carte.
[+] Ajout | Voiture id:1644
[+] Ajout | Voiture id:1645
[!] Accident | (4,5)
[-] Suppression | Voiture id:1642 supprimé de la carte.
[-] Suppression | Voiture id:1643 supprimé de la carte.
[-] Suppression | Voiture id:1640 supprimé de la carte.
[-] Suppression | Voiture id:1645 supprimé de la carte.
[-] Suppression | Voiture id:1644 supprimé de la carte.
[+] Ajout | Voiture id:1646
[+] Ajout | Voiture id:1647
[+] Ajout | Voiture id:1648
[+] Ajout | Voiture id:1649
[+] Ajout | Voiture id:1650
[+] Ajout | Voiture id:1651
[-] Suppression | Voiture id:1646 supprimé de la carte.
[-] Suppression | Voiture id:1647 supprimé de la carte.
[+] Ajout | Voiture id:1652
[+] Ajout | Voiture id:1653
[!] Accident | (1,5)
[-] Suppression | Voiture id:1648 supprimé de la carte.
[-] Suppression | Voiture id:1649 supprimé de la carte.
[-] Suppression | Voiture id:1653 supprimé de la carte.
[-] Suppression | Voiture id:1652 supprimé de la carte.
[+] Ajout | Voiture id:1654
[+] Ajout | Voiture id:1655
[-] Suppression | Voiture id:1650 supprimé de la carte.
[-] Suppression | Voiture id:1651 supprimé de la carte.
[+] Ajout | Voiture id:1656
[+] Ajout | Voiture id:1657
[+] Ajout | Voiture id:1658
[+] Ajout | Voiture id:1659
[!] Accident | (3,2)
[-] Suppression | Voiture id:1654 supprimé de la carte.
[-] Suppression | Voiture id:1655 supprimé de la carte.
[-] Suppression | Voiture id:1656 supprimé de la carte.
[-] Suppression | Voiture id:1657 supprimé de la carte.
[+] Ajout | Voiture id:1660
[+] Ajout | Voiture id:1661
[+] Ajout | Voiture id:1662
[+] Ajout | Voiture id:1663
[!] Accident | (0,4)
[-] Suppression | Voiture id:1658 supprimé de la carte.
[-] Suppression | Voiture id:1659 supprimé de la carte.
[-] Suppression | Voiture id:1663 supprimé de la carte.
[-] Suppression | Voiture id:1662 supprimé de la carte.
[+] Ajout | Voiture id:1664
[+] Ajout | Voiture id:1665
[!] Accident | (4,5)
[-] Suppression | Voiture id:1660 supprimé de la carte.
[-] Suppression | Voiture id:1661 supprimé de la carte.
[-] Suppression | Voiture id:1665 supprimé de la carte.
[-] Suppression | Voiture id:1664 supprimé de la carte.
[+] Ajout | Voiture id:1666
[+] Ajout | Voiture id:1667
[+] Ajout | Voiture id:1668
[+] Ajout | Voiture id:1669
[+] Ajout | Voiture id:1670
[+] Ajout | Voiture id:1671
[-] Suppression | Voiture id:1666 supprimé de la carte.
[-] Suppression | Voiture id:1667 supprimé de la carte.
[+] Ajout | Voiture id:1672
[+] Ajout | Voiture id:1673
[-] Suppression | Voiture id:1668 supprimé de la carte.
[-] Suppression | Voiture id:1669 supprimé de la carte.
[+] Ajout | Voiture id:1674
[+] Ajout | Voiture id:1675
[-] Suppression | Voiture id:1670 supprimé de la carte.
[-] Suppression | Voiture id:1671 supprimé de la carte.
[+] Ajout | Voiture id:1676
[+] Ajout | Voiture id:1677
[!] Accident | (1,3)
[-] Suppression | Voiture id:1672 supprimé de la carte.
[-] Suppression | Voiture id:1673 supprimé de la carte.
[+] Ajout | Voiture id:1678
[+] Ajout | Voiture id:1679
[!] Accident | (1,3)
[-] Suppression | Voiture id:1677 supprimé de la carte.
[-] Suppression | Voiture id:1676 supprimé de la carte.
[-] Suppression | Voiture id:1674 supprimé de la carte.
[-] Suppression | Voiture id:1675 supprimé de la carte.
[+] Ajout | Voiture id:1680
[+] Ajout | Voiture id:1681
[!] Accident | (3,5)
[-] Suppression | Voiture id:1676 supprimé de la carte.
[-] Suppression | Voiture id:1679 supprimé de la carte.
[-] Suppression | Voiture id:1681 supprimé de la carte.
[-] Suppression | Voiture id:1680 supprimé de la carte.
[+] Ajout | Voiture id:1682
[+] Ajout | Voiture id:1683
[!] Accident | (1,4)
[-] Suppression | Voiture id:1678 supprimé de la carte.
[+] Ajout | Voiture id:1684
[+] Ajout | Voiture id:1685
[!] Accident | (0,2)
[-] Suppression | Voiture id:1682 supprimé de la carte.
[-] Suppression | Voiture id:1683 supprimé de la carte.
[-] Suppression | Voiture id:1685 supprimé de la carte.
[-] Suppression | Voiture id:1684 supprimé de la carte.
[+] Ajout | Voiture id:1686
[+] Ajout | Voiture id:1687
[+] Ajout | Voiture id:1688
[+] Ajout | Voiture id:1689
[!] Accident | (3,2)
[!] Accident | (4,5)
[-] Suppression | Voiture id:1686 supprimé de la carte.
[-] Suppression | Voiture id:1687 supprimé de la carte.
[-] Suppression | Voiture id:1689 supprimé de la carte.
[-] Suppression | Voiture id:1688 supprimé de la carte.
[+] Ajout | Voiture id:1690
[+] Ajout | Voiture id:1691
[+] Ajout | Voiture id:1692
[+] Ajout | Voiture id:1693
[!] Accident | (1,1)
[+] Ajout | Voiture id:1694
[+] Ajout | Voiture id:1695
[-] Suppression | Voiture id:1690 supprimé de la carte.
[-] Suppression | Voiture id:1693 supprimé de la carte.
[-] Suppression | Voiture id:1691 supprimé de la carte.
[+] Ajout | Voiture id:1696
[+] Ajout | Voiture id:1697
[!] Accident | (4,5)
[-] Suppression | Voiture id:1692 supprimé de la carte.
[-] Suppression | Voiture id:1697 supprimé de la carte.
[-] Suppression | Voiture id:1696 supprimé de la carte.
[+] Ajout | Voiture id:1698
[+] Ajout | Voiture id:1699
[-] Suppression | Voiture id:1694 supprimé de la carte.
[-] Suppression | Voiture id:1695 supprimé de la carte.
[+] Ajout | Voiture id:1700
[+] Ajout | Voiture id:1701
[+] Ajout | Voiture id:1702
[+] Ajout | Voiture id:1703
[!] Accident | (4,4)
[-] Suppression | Voiture id:1698 supprimé de la carte.
[-] Suppression | Voiture id:1699 supprimé de la carte.
[+] Ajout | Voiture id:1704
[+] Ajout | Voiture id:1705
[-] Suppression | Voiture id:1701 supprimé de la carte.
[-] Suppression | Voiture id:1702 supprimé de la carte.
[-] Suppression | Voiture id:1700 supprimé de la carte.
[+] Ajout | Voiture id:1706
[+] Ajout | Voiture id:1707
[-] Suppression | Voiture id:1703 supprimé de la carte.
[+] Ajout | Voiture id:1708
[+] Ajout | Voiture id:1709
[-] Suppression | Voiture id:1704 supprimé de la carte.
[-] Suppression | Voiture id:1705 supprimé de la carte.
[+] Ajout | Voiture id:1710
[+] Ajout | Voiture id:1711
[!] Accident | (4,4)
[-] Suppression | Voiture id:1706 supprimé de la carte.
[-] Suppression | Voiture id:1707 supprimé de la carte.
[+] Ajout | Voiture id:1712
[+] Ajout | Voiture id:1713
[-] Suppression | Voiture id:1708 supprimé de la carte.
[-] Suppression | Voiture id:1711 supprimé de la carte.
[-] Suppression | Voiture id:1709 supprimé de la carte.
[+] Ajout | Voiture id:1714
[+] Ajout | Voiture id:1715
[-] Suppression | Voiture id:1710 supprimé de la carte.
[+] Ajout | Voiture id:1716
[+] Ajout | Voiture id:1717
[-] Suppression | Voiture id:1712 supprimé de la carte.
[-] Suppression | Voiture id:1713 supprimé de la carte.
[+] Ajout | Voiture id:1718
[+] Ajout | Voiture id:1719
[!] Accident | (3,2)
[-] Suppression | Voiture id:1714 supprimé de la carte.
[-] Suppression | Voiture id:1715 supprimé de la carte.
[-] Suppression | Voiture id:1716 supprimé de la carte.
[-] Suppression | Voiture id:1717 supprimé de la carte.
[+] Ajout | Voiture id:1720
[+] Ajout | Voiture id:1721
[!] Accident | (2,4)
[+] Ajout | Voiture id:1722
[+] Ajout | Voiture id:1723
[-] Suppression | Voiture id:1721 supprimé de la carte.
[-] Suppression | Voiture id:1720 supprimé de la carte.
[-] Suppression | Voiture id:1718 supprimé de la carte.
[-] Suppression | Voiture id:1719 supprimé de la carte.
[+] Ajout | Voiture id:1724
[+] Ajout | Voiture id:1725
[+] Ajout | Voiture id:1726
[+] Ajout | Voiture id:1727
[-] Suppression | Voiture id:1722 supprimé de la carte.
[-] Suppression | Voiture id:1723 supprimé de la carte.
[+] Ajout | Voiture id:1728
[+] Ajout | Voiture id:1729
[!] Accident | (1,5)
[-] Suppression | Voiture id:1724 supprimé de la carte.
[-] Suppression | Voiture id:1725 supprimé de la carte.
[-] Suppression | Voiture id:1729 supprimé de la carte.
[-] Suppression | Voiture id:1728 supprimé de la carte.
[+] Ajout | Voiture id:1730
[+] Ajout | Voiture id:1731
[!] Accident | (0,1)
[-] Suppression | Voiture id:1726 supprimé de la carte.
[-] Suppression | Voiture id:1727 supprimé de la carte.
[-] Suppression | Voiture id:1731 supprimé de la carte.
[-] Suppression | Voiture id:1730 supprimé de la carte.
[+] Ajout | Voiture id:1732
[+] Ajout | Voiture id:1733
[+] Ajout | Voiture id:1734
[+] Ajout | Voiture id:1735
[+] Ajout | Voiture id:1736
[+] Ajout | Voiture id:1737
[-] Suppression | Voiture id:1732 supprimé de la carte.
[-] Suppression | Voiture id:1733 supprimé de la carte.
[+] Ajout | Voiture id:1738
[+] Ajout | Voiture id:1739
[-] Suppression | Voiture id:1734 supprimé de la carte.
[-] Suppression | Voiture id:1735 supprimé de la carte.
[+] Ajout | Voiture id:1740
[+] Ajout | Voiture id:1741
[-] Suppression | Voiture id:1736 supprimé de la carte.
[-] Suppression | Voiture id:1737 supprimé de la carte.
[+] Ajout | Voiture id:1742
[+] Ajout | Voiture id:1743
[-] Suppression | Voiture id:1738 supprimé de la carte.
[-] Suppression | Voiture id:1739 supprimé de la carte.
[+] Ajout | Voiture id:1744
[+] Ajout | Voiture id:1745
[-] Suppression | Voiture id:1740 supprimé de la carte.
[-] Suppression | Voiture id:1741 supprimé de la carte.
[+] Ajout | Voiture id:1746
[+] Ajout | Voiture id:1747
[!] Accident | (3,3)
[-] Suppression | Voiture id:1742 supprimé de la carte.
[-] Suppression | Voiture id:1743 supprimé de la carte.
[-] Suppression | Voiture id:1745 supprimé de la carte.
[-] Suppression | Voiture id:1744 supprimé de la carte.
[+] Ajout | Voiture id:1748
[+] Ajout | Voiture id:1749
[+] Ajout | Voiture id:1750
[+] Ajout | Voiture id:1751
[-] Suppression | Voiture id:1746 supprimé de la carte.
[-] Suppression | Voiture id:1747 supprimé de la carte.
[+] Ajout | Voiture id:1752
[+] Ajout | Voiture id:1753
[-] Suppression | Voiture id:1748 supprimé de la carte.
[-] Suppression | Voiture id:1749 supprimé de la carte.
[+] Ajout | Voiture id:1754
[+] Ajout | Voiture id:1755
[!] Accident | (1,3)
[-] Suppression | Voiture id:1750 supprimé de la carte.
[-] Suppression | Voiture id:1751 supprimé de la carte.
[+] Ajout | Voiture id:1756
[+] Ajout | Voiture id:1757
[!] Accident | (1,3)
[-] Suppression | Voiture id:1755 supprimé de la carte.
[-] Suppression | Voiture id:1754 supprimé de la carte.
[-] Suppression | Voiture id:1752 supprimé de la carte.
[-] Suppression | Voiture id:1753 supprimé de la carte.
[+] Ajout | Voiture id:1758
[+] Ajout | Voiture id:1759
[-] Suppression | Voiture id:1754 supprimé de la carte.
[-] Suppression | Voiture id:1757 supprimé de la carte.
[+] Ajout | Voiture id:1760
[+] Ajout | Voiture id:1761
[!] Accident | (0,2)
[!] Accident | (3,1)
[-] Suppression | Voiture id:1756 supprimé de la carte.
[-] Suppression | Voiture id:1761 supprimé de la carte.
[-] Suppression | Voiture id:1760 supprimé de la carte.
[+] Ajout | Voiture id:1762
[+] Ajout | Voiture id:1763
[-] Suppression | Voiture id:1759 supprimé de la carte.
[-] Suppression | Voiture id:1758 supprimé de la carte.
[!] Accident | (2,4)
[+] Ajout | Voiture id:1764
[+] Ajout | Voiture id:1765
[-] Suppression | Voiture id:1763 supprimé de la carte.
[-] Suppression | Voiture id:1762 supprimé de la carte.
[+] Ajout | Voiture id:1766
[+] Ajout | Voiture id:1767
[!] Accident | (0,4)
[-] Suppression | Voiture id:1767 supprimé de la carte.
[-] Suppression | Voiture id:1766 supprimé de la carte.
[+] Ajout | Voiture id:1768
[+] Ajout | Voiture id:1769
[-] Suppression | Voiture id:1764 supprimé de la carte.
[-] Suppression | Voiture id:1765 supprimé de la carte.
[+] Ajout | Voiture id:1770
[+] Ajout | Voiture id:1771
[+] Ajout | Voiture id:1772
[+] Ajout | Voiture id:1773
[!] Accident | (2,2)
[!] Accident | (0,1)
[-] Suppression | Voiture id:1768 supprimé de la carte.
[-] Suppression | Voiture id:1769 supprimé de la carte.
[-] Suppression | Voiture id:1771 supprimé de la carte.
[-] Suppression | Voiture id:1770 supprimé de la carte.
[-] Suppression | Voiture id:1773 supprimé de la carte.
[-] Suppression | Voiture id:1772 supprimé de la carte.
[+] Ajout | Voiture id:1774
[+] Ajout | Voiture id:1775
[+] Ajout | Voiture id:1776
[+] Ajout | Voiture id:1777
[!] Accident | (4,4)
[+] Ajout | Voiture id:1778
[+] Ajout | Voiture id:1779
[-] Suppression | Voiture id:1774 supprimé de la carte.
[-] Suppression | Voiture id:1776 supprimé de la carte.
[!] Accident | (4,4)
[-] Suppression | Voiture id:1775 supprimé de la carte.
[+] Ajout | Voiture id:1780
[+] Ajout | Voiture id:1781
[-] Suppression | Voiture id:1777 supprimé de la carte.
[-] Suppression | Voiture id:1779 supprimé de la carte.
[+] Ajout | Voiture id:1782
[+] Ajout | Voiture id:1783
[!] Accident | (1,1)
[-] Suppression | Voiture id:1778 supprimé de la carte.
[+] Ajout | Voiture id:1784
[+] Ajout | Voiture id:1785
[-] Suppression | Voiture id:1781 supprimé de la carte.
[-] Suppression | Voiture id:1783 supprimé de la carte.
[-] Suppression | Voiture id:1780 supprimé de la carte.
[+] Ajout | Voiture id:1786
[+] Ajout | Voiture id:1787
[!] Accident | (3,2)
[-] Suppression | Voiture id:1782 supprimé de la carte.
[-] Suppression | Voiture id:1784 supprimé de la carte.
[-] Suppression | Voiture id:1785 supprimé de la carte.
[+] Ajout | Voiture id:1788
[+] Ajout | Voiture id:1789
[+] Ajout | Voiture id:1790
[+] Ajout | Voiture id:1791
[-] Suppression | Voiture id:1786 supprimé de la carte.
[-] Suppression | Voiture id:1787 supprimé de la carte.
[+] Ajout | Voiture id:1792
[+] Ajout | Voiture id:1793
[-] Suppression | Voiture id:1788 supprimé de la carte.
[-] Suppression | Voiture id:1789 supprimé de la carte.
[+] Ajout | Voiture id:1794
[+] Ajout | Voiture id:1795
[-] Suppression | Voiture id:1790 supprimé de la carte.
[-] Suppression | Voiture id:1791 supprimé de la carte.
[+] Ajout | Voiture id:1796
